,city,job_id,need_for_position,post_date,preferred_skill,salary_lower,salary_upper,state
0,Lexington Park,SC4-1322959,"- Bachelor's Degree or higher in Engineering or Science Degree More Than 5 Years of experience and knowledge of: - C, C++, C#, Java, Perl - Git, Scrum - SQL - JavaScript - ASP.NET/VB.NET Plus Skills! + Aviation or Defense Experience **Able to clear security investigation and government background check**",02/02/2017,"C#, SQL, Javascript, ASP.NET",100000,140000,MD
1,Jersey City,KB6-1330411,"- Extensive hands-on technical experience in UNIX, IDE , Java/J2EE, Python, Linux/Unix shell scripting - Knowledge on Middleware, web servers, databases & SQL queries (Oracle/MySQL) - Knowledge of application and infrastructure monitoring tools and technologies. - Excellent technical and non-technical presentation, communication and inter-personal skills - Desirable skills and experience: Nice-to-have skills: - Understanding of W3C standards and experience in addressing cross-browser and platform compatibility issues. - Good understanding of XHTML, HTML5 and CSS. - Familiarity with classical programming concepts such as polymorphism, inheritance, and encapsulation. - Exposure to MVC, Spring, Regular expressions, Junit",01/26/2017,"Unix, IDE, Java/J2EE, Python, Linux, HTML5/CSS3, SQL",90000,120000,NJ
2,Richland,DN2-1338782,At Least 1 Year of experience and knowledge of: - C# - ASP.NET - SQL - JavaScript - WPF,01/27/2017,"C#, ASP.NET, SQL, Javascript, WPF and XAML",80000,110000,WA
3,New York City,JC6-1324151,Less Than 1 Year of experience and knowledge of: - Python - Ruby on Rails - JavaScript - Django,02/16/2017,"Python, Ruby on Rails, Javascript",50000,140000,NY
4,West Hollywood,BC2-1331717,"- Experience with highly available, multi-tenant, cloud-deployed applications. - A BS/BA in Computer Science, or related field, and a strong interest in investment management. - Experience in multi-threaded application environments. - Knowledge of SQL and NoSQL database architectures. - Experience with Git.  - Expert programming in JVM languages, C# .NET, Python, or other non-Javascript based modern language.",02/15/2017,"JVM, C#, .NET, NoSQL, Git",90000,110000,CA
5,Reston,CD-1314960,"• Minimum 5 years of professional experience in progressively more senior software engineering roles • Minimum 5 years of experience with Unix internals; Java or .NET; XML/JSON; Oracle, Postgres or SQL Server; application frameworks (e.g. J2EE, JBOSS, Spring, Hibernate, OSGI) • Minimum 5 years of experience with web services applications... RESTful designs preferred • Minimum 5 years of hands-on experience with database programming in Java or .NET with Oracle, Postgres, or other RDBMS • Experience with one or more of the following is desired: scala, service oriented architectures, continuous integration, automated configuration management B.S. Computer Science or related field (or equivalent experience)... M.S. Computer Science highly preferred - Java 7 - Scala - Akka - Angular.js - Hibernate - PostgresSQL -  Cassandra - SOAP/REST/XML/JSON",02/16/2017,"Java 7, Scala, Akka, Angular.js, Hibernate, PostgresSQL, Cassandra, SOAP/REST/XML/JSON",110000,160000,VA
6,Broomfield,TP2-1346300,Extensive Experience/Knowledge: -Degree in Applied Mathematics(PhD.)/MS Engineering - C++ - 3D Geometric Modeling - Developing Algorithms,02/09/2017,"C++, 3D Geometry, Geo-Spatial",100000,150000,CO
7,Tampa,CP2-1321351,At Least 1 Year of experience and knowledge of: - .NET - C# - SQL - JavaScript - HTML - CSS - RESTful - JQuery - Angular.js,01/18/2017,".NET, C#, SQL, Javascript, HTML, CSS, RESTful, jQuery, Angular.js",60000,110000,FL
8,Seattle,RC1-1143623,"- We are looking for great developers who strive to always get better 
- Strong Python/Django experience 
-HTML/CSS/JS 
-AWS",01/05/2017,"Python, Django, Javascript, Backbone, jQuery",85000,130000,WA
9,Seattle,RC1-1180817,"At Least 3 Years of experience and knowledge of: 
 
- Python 
- Django 
- Ruby on Rails 
- JavaScript",01/05/2017,"Python, Django, Ruby on Rails, Javascript",80000,120000,WA
10,San Francisco,HF-1186909,"- BA, BS, MS or PhD in Computer Science or related technical discipline 
- Experience with CSS/CSS3, HTML/HTML5 and any modern day front end technologies 
- Solid foundation in computer science, with strong competencies in data structures, algorithms, software design and OOP 
- A plus if you have programming experience in one or more of the following: C/C++, Objective-C, Java, Python, JavaScript, Mobile Software Development  
(iOS, Android)",02/23/2017,"Back-end Development, platform, C/C++, Python, Objective-C, Java, Javascript, data structures, Algorithms, object-oriented design",70000,120000,CA
11,Rockville,JR4-1204781,"More Than 5 Years of experience and knowledge of: 
 
•.NET 
•SQL Server 
•HTTP 
•REST 
•AJAX 
•C#",02/23/2017,".NET, SQL Server, HTTP, REST, Ajax, C#",75000,140000,MD
12,Sacramento,TM-1236963,More Than 5 Years of experience and knowledge of: - .NET - Java - NoSQL / MongoDB / Hadoop - Cassandra - VoltDB - SQL Server 2008/2012 - PHP,02/23/2017,".NET, Java, NoSQL / MongoDB / Hadoop, Cassandra, VoltDB, SQL Server 2008/2012, PHP",110000,150000,CA
13,Sacramento,TM-1238519,More Than 5 Years of experience and knowledge of: - .NET - Java - NoSQL / MongoDB / Hadoop - Cassandra - VoltDB - SQL Server 2008/2012 - PHP,02/23/2017,".NET, Java, NoSQL / MongoDB / Hadoop, Cassandra, VoltDB, SQL Server 2008/2012, PHP",110000,150000,CA
14,Birmingham,SD2-1258570,"- In-depth knowledge of developing and supporting ASP/ASP.NET, C# .NET JavaScript applications  - Working knowledge of building service-oriented applications using WCF framework - Web site development - Skilled in Object-Oriented programming  - Proficient with XML and using schemas  - Experience with source control (TFS) - Working knowledge in Oracle and SQL development - Familiar with Agile development environments (Scrum and Kanban)  - VBA/Microsoft Access experience a plus -  Ability to work capably under stress and to juggle multiple tasks within tight deadlines  - Strong ability to research & solve complex issues independently - Excellent communication and technical documentation skills",02/23/2017,"ASP.NET, C#, SQL, .NET, Javascript, WCF",65000,85000,AL
15,Reno,MC5-1259050,At Least 3 Years of experience and knowledge of: - C++ - Linux - Python - JavaScript - AngularJS,02/23/2017,"C++, Linux, Python, Javascript, AngularJS",0,100000,NV
16,Sacramento,TM-1262922-2016,At Least 3 Years of experience and knowledge of: - ASP.NET - MVC - MongoDB - SQL Server - Web API / WCF - JavaScript - Git - Subversion - High Transaction Web Based Systems,02/23/2017,"ASP.NET, Web Services / APIs (REST / SOAP / JSON / XML), MySQl/MongoDB, C#, Javascript, Subversion, Git, SQL Server, HTML",95000,130000,CA
17,Houston,TP1-1268529,At Least 3 Years of experience and knowledge of: - C++ - Java - parallel programming - MPI ** BS in Computer Science/Mathematics/Engineering or relevant field ** Experience with Seismic Processing a plus!,02/23/2017,"C++, Java, parallel programming, MPI",0,130000,TX
18,North Charleston,JB8-1271118,At Least 3 Years of experience and knowledge of: - C# - JavaScript - MVC - REST,02/23/2017,"C#, Javascript, MVC, REST",NA,NA,SC
19,Beverly Hills,MC5-1273264,At Least 3 Years of experience and knowledge of: - Clojure - JavaScript - REACT - Scala - Python - B.S Degree in Computer Science -  Strong experience with scripting languages - Git knowledge a plus Bonus Skills - React Native - Clojure Script - Haskell - JVM,02/23/2017,"Clojure, Javascript, REACT, Scala, Python",0,120000,CA
20,Gaithersburg,DN2-1282274,"At Least 1 Year of experience and knowledge of: - Java - Node.JS - NoSQL (MongoDB Couch DB, Etc) - Git Nice to have skills: - HTML/CSS/Javascript - Ruby or Python Development experience",02/23/2017,"Java, Node.js, NoSQL (MongoDB Couch DB, Etc), Git, HTML/CSS/Javascript, Ruby or Python Development experience",110000,140000,MD
21,Baltimore,MM5-1302656,At Least 1 Year of experience and knowledge of: - OCaml - Functional Programming - Software Development,02/23/2017,"Python, AWS, OCaml, Functional Programming, Software Development",NA,NA,MD
22,Lincoln,RY1-1304378,"At Least 3 Years of experience and knowledge of: - Ruby on Rails - Coffeescript, Postgresql, Sass, - JQuery, Angular, Backbone, etc. - Sinatra & RSpec   - HTML5/CSS/Javascript - Git - Linux Bonus Skills: -Unity3D - C# - KRPano - Three.js - Crafty.js - D3",02/23/2017,"Ruby on Rails, JQuery/Angular/Backbone/Knockout ETC, HTML/CSS/Javascript, Git, Linux",60000,80000,NE
23,Preston,WC2-1307374,"- Bachelors Degree in Computer Science or equivalent experience - Must be proficient with JavaScript, JQuery, Bootstrap, Angular, Meteor - Knowledge of the software development life-cycle - Desire to work in fast paced environment - Ability to develop unit testing of code components or entire applications Standout Skills: - Android SDK - IOS SDK - Swift",02/23/2017,"Javascript, jQuery, Bootstrap, Angular, Meteor, Android SDK, iOS SDK, SWIFT, SFDC",0,0,MD
24,Federalsburg,CR5-1314031,"- Bachelors Degree in Computer Science or equivalent experience - Must be proficient with JavaScript, JQuery, Bootstrap, Angular, Meteor - Knowledge of the software development life-cycle - Desire to work in fast paced environment - Ability to develop unit testing of code components or entire applications Standout Skills: - Android SDK - IOS SDK - Swift",02/23/2017,"Javascript, jQuery, Bootstrap, Angular, Meteor, Android SDK, iOS SDK, SWIFT, SFDC",0,0,MD
25,New York City,DN2-1314049,"College experience and knowledge of: - C# - JavaScript - ASP.NET - SQL - HTML/CSS Experience with CI, deployment, and/or devops experience is a plus!",02/23/2017,"C#, Javascript, ASP.NET, SQL, HTML/CSS",70000,90000,NY
26,Springfield,RL3-1321073,"- Active TS/SCI Clearance or TS with SCI in the last two years is required - Strong programming skills in languages such as Java, C++, .Net or similar is a plus Bachelor's degree or equivalent combination of education and professional experience PeopleTools development experience and plus!  Strong programming skills in languages such as Java, C++, .Net or similar Strong SQL skills and/or experience with database systems Ability to work independently and as part of a team",02/23/2017,"C#, Javascript, SharePoint",90000,130000,VA
27,San Francisco,SA-1325969,"- Bachelor of Computer Science or equivalent experience - 3+ years of development with Python, Django or Java - Solid development skills, particularly related to Java, Scala, Python and/or SQL - Experience working on high-availability, large-scale data systems - Agile web development",02/23/2017,"Backend development with Python / Djando &or Java, Agile Web Development, Java / Scala / Python and/or SQL, High-availability / large-scale data systems",140000,175000,CA
28,Richland,JR4-1326329,More Than 5 Years of experience and knowledge of: •C# •SQL •WPF •Windows Forms,02/23/2017,"C#, SQL, WPF, Windows Forms",60000,100000,WA
29,Oklahoma City,TM-1329020,At Least 3 Years of experience and knowledge of: - ACTIVE Secret clearance - SQL - Java Development -  Oracle PL/SQL - Security+ Certification - Triggers and Stored Procedures -  CCNA - DoD 8570 IAT Level II,02/23/2017,"ACTIVE Secret clearance, SQL, Java Development, Oracle PL/SQL, Security+ Certification, Triggers and Stored Procedures, CCNA, DoD 8570 IAT Level II",75000,85000,OK
30,Portsmouth,DH1-1332258,"Good experience using most of the following: -C#/.NET - JavaScript - HTML/HTML5 - CSS/LESS - Kendo Mobile is desired Bonus points for the following: - Working knowledge of Cordova/Phonegap - Working knowledge of JavaScript testing frameworks (JMeter, Jasmine, etc.) - Working knowledge of T-SQL and SQL Server - Working knowledge of JavaScript frameworks (AngularJS, etc.) - Working knowledge of CSS frameworks (Bootstrap, etc.)",02/23/2017,"C#, Javascript, HTML, Kendo Mobile, Cordova/Phonegap, Agile/Scrum",80000,120000,NH
31,Decatur,CG3-1332601,At Least 3 Years of experience and knowledge of: - JavaScript - C# - Java - SQL - ASP.NET,02/23/2017,"Javascript, C#, Java, SQL, ASP.NET",65000,95000,TN
32,Hampton,JS5-1334767,"Requirements: •System integration and testing. •Experience with embedded ARM Linux •Experience with TI RTOS •Experience with C programming TI MSP430, Tiva, or Sitara processors without an OS •Experience with hardware/software design and testing methodologies •Bachelor in Computer Engineering / Electrical Engineering or equivalent. •Self-motivated and able to work in small multifaceted teams Nice To Have: •Experience with signal processing, Altium, fiber optics, and RF.",02/23/2017,"embedded firmware, C/C++, Embedded devices",100000,120000,GA
33,Springfield,MM16-1337764,"- Active TS/SCI Clearance or TS with SCI in the last two years is required - Strong programming skills in languages such as Java, C++, .Net or similar is a plus Bachelor's degree or equivalent combination of education and professional experience PeopleTools development experience and plus!  Strong programming skills in languages such as Java, C++, .Net or similar Strong SQL skills and/or experience with database systems Ability to work independently and as part of a team",02/23/2017,"C#, Javascript, SharePoint",90000,130000,VA
34,Tulsa,JS3-1338129,"•Bachelor's degree (computer science, software engineering, computer & information systems) •Self-motivated with sound academic background and/or solid experience as developer •Highly adaptable, capable of learning new technologies and APIs  •Strong Computer Science foundation (algorithms) and some DB (any RDBMS SQL will do- MySQL, postgres, Oracle, SQLserver) •Highly adaptable, capable of learning new technologies and APIs",02/23/2017,"Java, Ruby on Rails, Redhat Linux",NA,NA,OK
35,Houston,AP4-1338810,"The position requires a minimum of a Bachelor of Science degree in Electrical Engineering, Mechanical Engineering, Aeronautical Engineering, Mathematics/Physics, Computer Science, or other related disciplines. Applicable school projects or on-the-job experience will be a plus. It will be a plus to possess the knowledge and understanding of analog filter design, sampling theory, and signal analysis. Experience with Windows OS, Mac OS and Unix/Linux OS environments, Java, Python, and software configuration management is desired. Experience with working in small to medium sized multi-discipline groups will be helpful. Background and experience in aeronautics, instrumentation, data systems and wind tunnel testing is also desirable. Must be able to obtain a NASA badge and access to the facilities.",02/23/2017,"C++, PXI/PXIe, Network Programming, Java, Python",150000,175000,TX
36,San Antonio,JH5-1339427,- RFI/RFP/RFQ Activites - DDI Security - RNA Development - Information Security - CISSP,02/23/2017,"Research and Development, Django, Rails/NodeJS, Python/Ruby/Perl, SQL/MYSQL",100000,120000,TX
37,Chicago,PS1-1339497,- Bachelor's degree in Computer Science - 2 years of related work experience  -  C#/.NET - SQL Server - JavaScript,02/23/2017,"C#/.NET, SQL Server, Javascript",65000,85000,IL
38,Austin,BC4-1339742,"-Must have at least 2 years expereince with C# -BS degree, preferably in Computer Science, Engineering, Mathematics, Science or related degree -Experience with or knowledge of C#, HTML, JavaScript, and CSS -Strong verbal and communication skills -Interactive development tools such as Visual Studio and Team Foundation Server -Relational databases, specifically Microsoft SQL Server -jQuery, Angular, and/or Bootstrap",02/23/2017,"C#, HTML, Javascript, CSS",60000,80000,TX
39,Chicago,SC4-1339962,"- Bachelor's Degree or higher in CS or related field  - At least 2 years relevant experience - Strong proficiency with SQL - Ability to develop RESTful APIs Nice to have Skills! + Ruby/Rails + Frontend experience + E-commerce  + MySQL + JavaScript (React, Redux, and/or Node) + Continuous integration environments/deployment tools (Jenkins, Capistrano, etc.)",02/23/2017,"Ruby/Rails, MySQL, RESTful APIs, Javascript",80000,110000,IL
40,Johns Island,JK-1342514,"• BS & MS (Preferred) in CS / EE / CE and some relevant industry experience with finance, trading or other fintech experience preferred • Python, C++, Ruby or related production programming experience • Full-scale Software Development LifeCycle experience including Test-Driven or Behavioral-Driven development experience (BDD/ TDD) • Experience working with large data sets, data stores, distributed computing & related tools is a plus • Hands on Bash or other Unix Scripting experience is a bit plus • Linux experience • R, Matlab or related analysis tool kit experience • Passion for & ideally some hands on experience with real-time financial analysis, low-latency microstructure & ideally some finance or related product experience • Must be a good problem solver and have a drive to make the right decisions the first time in a fast-paced environment",02/23/2017,"Python, Bash, C++, Matlab, Scalable Data Structures, Financial Technology, Linux, Big Data, TDD, BDD",140000,200000,SC
41,Daytona Beach,CD-1344926,"•Minimum 4 years experience with C# and web development frameworks. Experience with .NET MVC 4+ required. •Experience designing and developing multi-tenant SaaS products preferred. •Familiarity with client-side technologies including but not limited to HTML, CSS and JavaScript libraries/frameworks such as jQuery, jQueryUI, Bootstrap, and Angular. Experience with HTML5 and responsive web design preferred. •SOA, web services, REST. •Minimum 5 years experience with relational database design and development (SQL Server). •Experience working in agile/scrum programming environment. •User Interface design and development a plus. - C# - JavaScript - SQL - ASP.NET - Front-End Development - SDLC - AngularJS/Node.js/Knockout - PHP/Wordpress",02/23/2017,"C#, SQL, ASP.NET, SDLC, AngularJS/Node.js/Knockout, PHP/Wordpress, MVC, Web Services (WCF SOAP, & REST), Test-driven development and CI/CD",70000,120000,FL
42,Austin,BC4-1346153,"-Must have at least 2 years expereince with C# -BS degree, preferably in Computer Science, Engineering, Mathematics, Science or related degree -Experience with or knowledge of C#, HTML, JavaScript, and CSS -Strong verbal and communication skills -Interactive development tools such as Visual Studio and Team Foundation Server -Relational databases, specifically Microsoft SQL Server -jQuery, Angular, and/or Bootstrap",02/23/2017,"C#, HTML, Javascript, CSS",60000,80000,TX
43,Richland,RK6-1347715,At Least 2 Years of experience and: - We used C++ in the past but we are looking to get into using Python - Proven experience of debugging applications - We want someone with a few years of experience and a couple projects under their belt,02/23/2017,"Python, C++, Object Oriented Languages",80000,120000,TX
44,Austin,BC4-1348690,"-Must have at least 2 years expereince with C# -BS degree, preferably in Computer Science, Engineering, Mathematics, Science or related degree -Experience with or knowledge of C#, HTML, JavaScript, and CSS -Strong verbal and communication skills -Interactive development tools such as Visual Studio and Team Foundation Server -Relational databases, specifically Microsoft SQL Server -jQuery, Angular, and/or Bootstrap",02/23/2017,"C#, HTML, Javascript, CSS",60000,80000,TX
45,Trenton,MG7-1349150,At Least 3 Years of experience and knowledge of: - JavaScript - HTML/CSS - GUI,02/23/2017,"Javascript, HTML/CSS, GUI",100000,175000,NJ
46,Stamford,MG7-1349159,At Least 3 Years of experience and knowledge of: - JavaScript - HTML/CSS - GUI,02/23/2017,"Javascript, HTML/CSS, GUI",100000,175000,CT
47,San Francisco,SS7-1342779,"At Least 3 Years of experience and knowledge of: – More important than specific domain experience is an ability to make the math, the algorithms, and the code all line up and work well on real world problems – Hands-on experience with visual odometry, mapping and SLAM – Proficiency with probabilistic inference and 3d geometry – Optimization for computationally constrained environments – Deep Learning – training data, neural networks, online learning – Solid software engineering foundation and a commitment to writing clean, well architected code – High proficiency in C++ – Ability to thrive in a fast paced, collaborative, small team environment",02/20/2017,"C++, 3D Geometry, Deep Learning, Algorithms, Computer Vision, SLAM, OpenCV",90000,130000,CA
48,Belleville,MM4-1352172,Experience with the below technologies and programming languages: MS SQL Server 2012 MS SQL Server Reporting Services MS IIS  MS Server 2008/2012  Visual Studio  .Net ASP.NET C# JavaScript/JQuery HTML5 CSS 3 Web API / WCF Services,02/23/2017,".NET development, SQL Server, Web APIs, WCF web services, SQL Reports, Javascript, HTML5, C#",75000,95000,MI
49,Culver City,IE1-1223962,A Computer Science degree and at least 3 years of relevant experience. We want you to be a expert in the Software Development lifecycle and: - C++/Java - Ruby/Rails - AWS-Redshift - Hadoop or Hive - Xnix - SOA/Web Services development - Agile Methodologies,02/28/2017,"C++/Java/Ruby, AWS/Redshift, Hadoop, SOA/Web Services development, Agile Methodologies",140000,175000,CA
50,Boca Raton,LV1-1335464,"C, C++ proficiency embedded SW development Windows application development Exp that has interfaced with HW debug and test",03/02/2017,"BS Computer Science or Computer Engineering, Proficient in C and C++, Embedded SW dec. and operating systems, Windows Application Development, Debugging and Testing, Exp. that has interfaced with Hardware",NA,NA,FL
51,Annapolis,BD3-1337169,At Least 3 Years of experience and knowledge of: - Java - C/C++ - JavaScript - Python - Unix - TS/SCI with full scope polygraph,02/27/2017,"Java, C/C++, Javascript, Python, Unix, TS/SCI with full scope polygraph",NA,NA,MD
52,Dallas,NF2-1339177,At Least 3 Years of experience and knowledge of: - PHP - JavaScript - Python/Django - HTML5/CSS3 - SQL - MySQL or PostgreSQL -  DOM - API's - Linux - MVC Frameworks,03/02/2017,"PHP, Javascript, Python/Django, HTML5/CSS3, SQL, MySQL or PostgreSQL, DOM, API's, Linux, MVC Frameworks",60000,90000,TX
53,Vernon,TP2-1354300,Experience/Knowledge: -MS Dynamic Navigation -HTML/JavaScript/C/LA/API Integration -Web Site Construction/Management -Database Programming/Management Pluses: -Magento - Complex Development Environments,03/03/2017,"MS Dynamics, Javascript, HTML",85000,110000,CA
54,Columbia,CB2-1331222,"- 5+ years of experience developing Enterprise level applications - Expertise in (Ruby on Rails, Java, Python, C++, OOP) supporting Data Intensive Integrations and Service Oriented Architecture - Working knowledge of Linux, SQL, MYSQL, PostgreSQL - Knowledge of enterprise concepts such as security, scalability, transaction management, micro-services, and multi-threading - Comfortable with relational databases including transaction management, tuning and scalability, JDBC, and ORMs - Previous experience supporting Consumer Facing Products in a Data Intensive environment",02/23/2017,"TS/SCI with FS Polygraph, Java, Node.js, Single Sign On (SSO), API, MySQL, Algorithms, Big Data, Web Services, Spring",100000,150000,MD
55,Portsmouth,DH1-1346865,"Good experience using most of the following: -C#/.NET - JavaScript - HTML/HTML5 - CSS/LESS - Kendo Mobile is desired Bonus points for the following: - Working knowledge of Cordova/Phonegap - Working knowledge of JavaScript testing frameworks (JMeter, Jasmine, etc.) - Working knowledge of T-SQL and SQL Server - Working knowledge of JavaScript frameworks (AngularJS, etc.) - Working knowledge of CSS frameworks (Bootstrap, etc.)",02/24/2017,"C#, Javascript, HTML, Kendo Mobile, Cordova/Phonegap, Agile/Scrum",70000,100000,NH
56,San Francisco,KB6-1351720,"At Least 3 Years of experience and knowledge of: - Strong abilities in Ruby on Rails - Experience with React - Full stack development abilities highly desired - BS or MS in CS or EE desired but not required If you meet some, but not all fo the requirements and have a passion for building a great business and product that will disrupt a market, please submit your resume!",02/24/2017,"Ruby on Rails, REACT, Full stack development",95000,160000,CA
57,Bethesda,JH5-1339784,- Microsoft - Azure - Service Bus - IoT Hub - Event Hub,03/01/2017,"Microsoft, Azure, Service Bus, IoT Hub, Event Hub",100000,120000,MD
58,New York City,JK-1342513,"• BS & MS (Preferred) in CS / EE / CE and some relevant industry experience with finance, trading or other fintech experience preferred • Python, C++, Ruby or related production programming experience • Full-scale Software Development LifeCycle experience including Test-Driven or Behavioral-Driven development experience (BDD/ TDD) • Experience working with large data sets, data stores, distributed computing & related tools is a plus • Hands on Bash or other Unix Scripting experience is a bit plus • Linux experience • R, Matlab or related analysis tool kit experience • Passion for & ideally some hands on experience with real-time financial analysis, low-latency microstructure & ideally some finance or related product experience • Must be a good problem solver and have a drive to make the right decisions the first time in a fast-paced environment",02/24/2017,"Python, Bash, C++, Matlab, Scalable Data Structures, Financial Technology, Linux, Big Data, TDD, BDD",140000,200000,NY
59,New York City,SE1-1340871,"•Professional backend experience with at least one Dynamically Type Programming Language (examples: Ruby, Python, Javascript, Perl) and at least one Statically Type Programming Language (examples: Go, C, C++, Java) •Professional backend experience with at least one Relational Database (examples: MySQL, PostgreSQL) and at least one NoSQL database (examples: Redis, MongoDB, DynamoDB, Memcached) •Professional experience using a testing framework (examples in Ruby: Rspec, minutest, test-unit (Test::Unit)) •Computer Science background (Associates or Bachelor's, or strong comparable work experience) Also Helpful: •Microservices and Containerization: experience or interest in learning •AWS experience (EC2, S3, Redshift, Elasticache) bonus points for Kinesis, EMR and ECS •JavaScript Frameworks, experience or interest in learning, examples: React, Knockout, Angular. •Experience with other non-RoR Web Frameworks, no matter what programming language (examples Ruby: Sinatra; Go: gorilla, Python: Django) •Strong experience using Git. •Strong experience in ObjectOriented Programming and Design Patterns. •Excellent problem solving and communication. •Comfortable working in an agile environment. •Desire to constantly improve the platform. •Experience in automated testing and continuous integration programs such as Jenkins or Ansible.",02/24/2017,"Professional backend software development, Ruby or Python or Javascript or Perl, Go or C or C++ or Java, MySQL or PostgreSQL, Redis or MongoDB or DynamoDB or Memcached, Rspec or minutest or Test::Unit, AWS (EC2/S3/RDS/EBS/ElasticCache/CloudFront), AWS: EC2/S3/Redshift/Elasticache/Kinesis/EMR/ECS, React or Knockout or Angular, Sinatra or gorilla or Django",85000,110000,NY
60,Baltimore,CF1-1339202,At Least 1 Year of experience and knowledge of: - C# - ASP.NET - JavaScript - .NET - SQL,03/02/2017,"C#, ASP.NET, Javascript, .NET, SQL",70000,80000,MD
61,San Francisco,TB3-1349654,At Least 3 Years of experience and knowledge of: - IoT Product Experience - Application Development - Cloud Computing Nice to Have: - AWS IoT,03/03/2017,"IoT Product Experience, Application Development, Cloud Computing, AWS IoT",80000,100000,CA
62,Oklahoma City,JH5-1329341,- Medical Devices - Peripheral Electronics - AAMI - C++ - SafeRTOS - IEC 62304 and 60601 - ISO 13485 and 14971 - i2C - SPI - UART,03/05/2017,"Medical Devices, Peripheral Electronics, AAMI, C++, SafeRTOS, IEC 62304 and 60601, ISO 13485 and 14971, i2C, SPI, UART",80000,150000,OK
63,Fort Lee,AC1-1345610,"Must-Have Skills: - 5-8 years’ experience developing multi-tier .NET applications in C# - Experience with banking, financial services, or transactions applications - Strong experience with web technologies including JavaScript,  jQuery,  AJAX - Experience with relational databases - Agile/Scrum development environment understanding  - BS in Computer Science, or equivalent combination of education and experience; Bonus Skills: - Advanced degree - - Delivery of Distributed Systems utilizing Hadoop, NServiceBus, SignalR - HTML5 - IOC Containers - CQRS/ DDD/ TDD - Bootstrap/Angular/KnockoutJS - SOLID Principals",03/05/2017,"Multi-Tier C#.Net Applications, Transactions/Banking Applications, Core Enterprise Apps, Relational Databases, Web Tech (JavaScript/jQuery/AJAX)",NA,NA,NJ
64,Vancouver,KB6-1354145,"Requirements: 3 – 5 years experience with Java Skills in JavaScript, HTML, and CSS MySQL experience Understanding of object-oriented programming concepts and practices Nice to have: Experience working independently as part of a larger team Experience with SVN Ability to learn on the job, explore new tools, techniques and technologies Education/knowledge/relevant work experience in web application development Experience developing SaaS applications Experience developing web applications for mobile devices (iOS and Android)",03/05/2017,"Javascript, HTML, CSS, Java, svn, iOS, Android, SaaS, MySQL",85000,120000,BC
65,Champaign,SL6-1352852,"At Least 3 Years of experience and knowledge of: -Practical experience as a software engineer with know-how and experience in the latest tools and technologies, including modern C++ (e.g., C++11), STL, Boost, MS Visual Studio, unit tests, GUI design with QT and similar frameworks, Agile Development methodologies, and continuous integration systems -Multithreading and parallel processing -Working knowledge of maintaining a build system (e.g. cmake), a source control solution and bug database -Working knowledge of GPU programming (CUDA/OpenCL) and graphics libraries (OpenCV and OpenGL)",03/05/2017,"C++, Qt Framework, MS Visual Studio",80000,120000,IL
66,San Francisco,CG3-1355184,"Years of Experience and Knowledge of: - Proficiency with scalable server­side Java; ideally in the design of mission critical enterprise applications - Familiarity with data driven and data focused applications, data scalability techniques; ideally a knowledge of SQL as well as modern NoSql techniques - Understanding and love of Javascript, CSS, and API­driven / MVC user interface frameworks - Passion for analytical applications, forecasting, data visualization and machine learning. - Curiosity about business problems and using modern infrastructure to solve real world challenges Our Technologies: - Java server technologies, NoSql, Github, JavaScript web techniques (jQuery, Backbone, React, and RequireJS), and patent­ pending analytical methods on top of MongoDB and AWS.",03/05/2017,"Java, Javascript, Spring, REACT, mongodb",0,0,CA
